914,NASDAQ,ARTNA
620,NASDAQ,ARTW
627,NASDAQ,ARTX
814,NASDAQ,ARUN
753,NYSE,ARW
515,NASDAQ,ARWR
422,NYSE,ASA
414,NASDAQ,ASBC
419,NASDAQ,ASBI
765,NASDAQ,ASEI
760,NASDAQ,ASFI
764,NYSE,ASGN
110,NYSE,ASH
432,NYSE,ASI
823,NASDAQ,ASIA
133,AMEX,ASM
772,NYSE,ASR
411,NASDAQ,ASRV
611,NASDAQ,ASTC
620,NASDAQ,ASTE
832,NASDAQ,ASTI
515,NASDAQ,ASTM
510,NASDAQ,ASTX
826,NASDAQ,ASUR
834,NYSE,ASX
834,NASDAQ,ASYS
911,NYSE,AT
834,NYSE,ATE
821,NASDAQ,ATEA
626,NYSE,ATI
611,NYSE,ATK
133,AMEX,ATL
912,NYSE,ATLS
834,NASDAQ,ATMI
830,NASDAQ,ATML
912,NYSE,ATO
325,NYSE,ATR
520,NASDAQ,ATRI
834,NASDAQ,ATRM
611,NASDAQ,ATRO
520,NASDAQ,ATRS
822,NASDAQ,ATTU
622,NYSE,ATU
820,NASDAQ,ATVI
123,NYSE,ATW
134,NYSE,AU
413,NASDAQ,AUBN
841,NASDAQ,AUDC
133,AMEX,AUMN
830,NYSE,AUO
134,NYSE,AUQ
134,NYSE,AUY
430,NYSE,AV
913,NYSE,AVA
611,NASDAQ,AVAV
445,NYSE,AVB
112,NYSE,AVD
515,NASDAQ,AVEO
830,NASDAQ,AVGO
630,NASDAQ,AVHI
820,NASDAQ,AVID
133,AMEX,AVL
512,NASDAQ,AVNR
323,NYSE,AVP
753,NYSE,AVT
836,NYSE,AVX
313,NYSE,AVY
132,NYSE,AWC
425,NYSE,AWF
914,NYSE,AWK
914,NYSE,AWR
841,NASDAQ,AWRE
753,NYSE,AXE
333,NYSE,AXL
111,NYSE,AXLL
424,NYSE,AXP
448,NYSE,AXR
432,NYSE,AXS
833,NASDAQ,AXTI
133,AMEX,AXU
836,NYSE,AYI
131,AMEX,AZC
510,NYSE,AZN
738,NYSE,AZO
826,NASDAQ,AZPN
626,NYSE,AZZ
621,NYSE,B
611,NYSE,BA
134,AMEX,BAA
521,NASDAQ,BABY
410,NYSE,BAC
110,NYSE,BAK
775,NYSE,BALT
449,NYSE,BAM
745,NASDAQ,BAMM
416,NASDAQ,BANC
415,NASDAQ,BANF
419,NASDAQ,BANR
410,NYSE,BAP
124,NYSE,BAS
768,NASDAQ,BASI
520,NYSE,BAX
737,NASDAQ,BBBY
418,NYSE,BBD
123,NASDAQ,BBEP
425,NYSE,BBF
123,NYSE,BBG
724,NASDAQ,BBGI
425,NYSE,BBK
133,NYSE,BBL
416,NASDAQ,BBNK
814,NASDAQ,BBOX
764,NASDAQ,BBSI
412,NYSE,BBT
418,NYSE,BBVA
741,NYSE,BBW
419,NYSE,BBX
735,NYSE,BBY
317,NYSE,BC
632,NYSE,BCC
844,NYSE,BCE
418,NYSE,BCH
765,NYSE,BCO
851,NASDAQ,BCOR
110,NASDAQ,BCPC
520,NYSE,BCR
515,NASDAQ,BCRX
417,NYSE,BCS
419,NASDAQ,BCSB
425,AMEX,BCV
342,NASDAQ,BDBD
316,NASDAQ,BDE
713,AMEX,BDL
760,NASDAQ,BDMS
440,NYSE,BDN
841,AMEX,BDR
515,NASDAQ,BDSI
520,NYSE,BDX
347,NYSE,BEAM
528,NASDAQ,BEAT
611,NASDAQ,BEAV
730,NASDAQ,BEBE
752,NASDAQ,BECN
443,NYSE,BEE
836,NASDAQ,BELFB
422,NYSE,BEN
411,NASDAQ,BERK
425,NYSE,BFK
425,NYSE,BFO
418,NYSE,BFR
446,NYSE,BFS
425,NYSE,BFZ
341,NYSE,BG
627,NYSE,BGC
420,NASDAQ,BGCP
740,NASDAQ,BGFV
622,NYSE,BGG
525,NASDAQ,BGMD
426,NYSE,BGR
342,NYSE,BGS
427,NYSE,BGY
712,NYSE,BH
411,AMEX,BHB
425,NYSE,BHD
835,NYSE,BHE
124,NYSE,BHI
425,NYSE,BHK
133,NYSE,BHP
422,AMEX,BHV
425,NYSE,BHY
851,NASDAQ,BIDU
425,NYSE,BIE
515,NASDAQ,BIIB
113,NASDAQ,BIOF
520,NASDAQ,BIOL
510,NASDAQ,BIOS
911,NYSE,BIP
821,NASDAQ,BIRT
851,NYSE,BITA
712,NASDAQ,BJRI
425,NYSE,BJZ
422,NYSE,BK
730,NYSE,BKE
911,NYSE,BKH
324,NYSE,BKI
425,NYSE,BKK
419,NASDAQ,BKMU
425,NYSE,BKN
767,AMEX,BKR
745,NYSE,BKS
412,NASDAQ,BKSC
425,NYSE,BKT
712,NYSE,BKW
723,NYSE,BLC
627,NASDAQ,BLDP
736,NASDAQ,BLDR
422,AMEX,BLE
